lotto_game,numbers,frequency
2D Lotto 2PM,21,163
2D Lotto 2PM,25,158
2D Lotto 2PM,24,157
2D Lotto 2PM,3,156
2D Lotto 2PM,1,155
2D Lotto 2PM,9,151
2D Lotto 2PM,31,150
2D Lotto 2PM,30,149
2D Lotto 2PM,6,146
2D Lotto 2PM,12,146
2D Lotto 2PM,10,143
2D Lotto 2PM,11,142
2D Lotto 2PM,27,142
2D Lotto 2PM,18,139
2D Lotto 2PM,28,139
2D Lotto 2PM,13,138
2D Lotto 2PM,22,138
2D Lotto 2PM,7,137
2D Lotto 2PM,14,136
2D Lotto 2PM,20,134
2D Lotto 2PM,23,133
2D Lotto 2PM,4,131
2D Lotto 2PM,15,131
2D Lotto 2PM,16,129
2D Lotto 2PM,2,128
2D Lotto 2PM,17,127
2D Lotto 2PM,26,125
2D Lotto 2PM,5,124
2D Lotto 2PM,8,123
2D Lotto 2PM,29,123
2D Lotto 2PM,19,109
2D Lotto 5PM,19,166
2D Lotto 5PM,5,163
2D Lotto 5PM,23,155
2D Lotto 5PM,8,151
2D Lotto 5PM,27,150
2D Lotto 5PM,26,148
2D Lotto 5PM,6,147
2D Lotto 5PM,9,147
2D Lotto 5PM,10,146
2D Lotto 5PM,16,146
2D Lotto 5PM,22,146
2D Lotto 5PM,31,146
2D Lotto 5PM,7,144
2D Lotto 5PM,25,143
2D Lotto 5PM,18,142
2D Lotto 5PM,1,140
2D Lotto 5PM,11,140
2D Lotto 5PM,20,139
2D Lotto 5PM,15,138
2D Lotto 5PM,14,134
2D Lotto 5PM,29,134
2D Lotto 5PM,28,133
2D Lotto 5PM,21,129
2D Lotto 5PM,24,128
2D Lotto 5PM,12,127
2D Lotto 5PM,17,123
2D Lotto 5PM,13,122
2D Lotto 5PM,30,121
2D Lotto 5PM,4,120
2D Lotto 5PM,3,118
2D Lotto 5PM,2,114
2D Lotto 9PM,9,166
2D Lotto 9PM,16,163
2D Lotto 9PM,7,154
2D Lotto 9PM,18,151
2D Lotto 9PM,20,150
2D Lotto 9PM,30,150
2D Lotto 9PM,3,149
2D Lotto 9PM,31,147
2D Lotto 9PM,12,146
2D Lotto 9PM,1,145
2D Lotto 9PM,4,141
2D Lotto 9PM,25,138
2D Lotto 9PM,27,138
2D Lotto 9PM,2,137
2D Lotto 9PM,26,137
2D Lotto 9PM,14,136
2D Lotto 9PM,17,136
2D Lotto 9PM,22,136
2D Lotto 9PM,23,136
2D Lotto 9PM,19,135
2D Lotto 9PM,24,135
2D Lotto 9PM,21,134
2D Lotto 9PM,29,131
2D Lotto 9PM,5,130
2D Lotto 9PM,13,130
2D Lotto 9PM,8,128
2D Lotto 9PM,6,127
2D Lotto 9PM,10,125
2D Lotto 9PM,11,124
2D Lotto 9PM,28,123
2D Lotto 9PM,15,122
3D Lotto 2PM,6,691
3D Lotto 2PM,3,672
3D Lotto 2PM,8,665
3D Lotto 2PM,2,657
3D Lotto 2PM,0,651
3D Lotto 2PM,7,639
3D Lotto 2PM,9,634
3D Lotto 2PM,4,622
3D Lotto 2PM,1,617
3D Lotto 2PM,5,605
3D Lotto 5PM,6,684
3D Lotto 5PM,0,671
3D Lotto 5PM,3,667
3D Lotto 5PM,4,658
3D Lotto 5PM,1,645
3D Lotto 5PM,5,645
3D Lotto 5PM,9,632
3D Lotto 5PM,8,623
3D Lotto 5PM,7,619
3D Lotto 5PM,2,606
3D Lotto 9PM,7,675
3D Lotto 9PM,1,661
3D Lotto 9PM,2,658
3D Lotto 9PM,9,656
3D Lotto 9PM,4,654
3D Lotto 9PM,3,653
3D Lotto 9PM,0,648
3D Lotto 9PM,5,635
3D Lotto 9PM,6,611
3D Lotto 9PM,8,599
4D Lotto,8,366
4D Lotto,7,360
4D Lotto,0,359
4D Lotto,4,356
4D Lotto,2,353
4D Lotto,3,346
4D Lotto,5,344
4D Lotto,1,343
4D Lotto,6,334
4D Lotto,9,327
6D Lotto,2,552
6D Lotto,9,538
6D Lotto,1,536
6D Lotto,0,528
6D Lotto,6,525
6D Lotto,7,518
6D Lotto,4,511
6D Lotto,3,505
6D Lotto,5,501
6D Lotto,8,494
Grand Lotto 6/55,42,128
Grand Lotto 6/55,45,124
Grand Lotto 6/55,41,123
Grand Lotto 6/55,17,118
Grand Lotto 6/55,24,117
Grand Lotto 6/55,51,117
Grand Lotto 6/55,6,116
Grand Lotto 6/55,9,116
Grand Lotto 6/55,43,116
Grand Lotto 6/55,33,115
Grand Lotto 6/55,49,114
Grand Lotto 6/55,54,114
Grand Lotto 6/55,2,113
Grand Lotto 6/55,28,111
Grand Lotto 6/55,48,111
Grand Lotto 6/55,10,110
Grand Lotto 6/55,13,109
Grand Lotto 6/55,29,108
Grand Lotto 6/55,40,108
Grand Lotto 6/55,1,106
Grand Lotto 6/55,5,106
Grand Lotto 6/55,52,106
