lotto_game,suggested_combination,sum,odd_even_pattern,historical_frequency_score,basis
2D Lotto 2PM,25-14,39,1 odd / 1 even,465,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 2PM,03-30,33,1 odd / 1 even,487,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 2PM,11-28,39,1 odd / 1 even,491,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 2PM,25-12,37,1 odd / 1 even,472,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 2PM,25-06,31,1 odd / 1 even,495,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 5PM,05-22,27,1 odd / 1 even,505,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 5PM,11-12,23,1 odd / 1 even,449,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 5PM,15-08,23,1 odd / 1 even,486,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 5PM,07-22,29,1 odd / 1 even,498,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 5PM,13-26,39,1 odd / 1 even,437,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 9PM,23-10,33,1 odd / 1 even,437,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 9PM,13-10,23,1 odd / 1 even,435,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 9PM,21-06,27,1 odd / 1 even,425,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 9PM,15-18,33,1 odd / 1 even,433,"weighted by historical frequency, common odd/even pattern, and median-sum range"
2D Lotto 9PM,21-16,37,1 odd / 1 even,468,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 2PM,05-05-03,13,3 odd / 0 even,3154,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 2PM,04-08-02,14,0 odd / 3 even,3273,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 2PM,07-04-01,12,2 odd / 1 even,3153,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 2PM,05-01-06,12,2 odd / 1 even,3188,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 2PM,04-03-03,10,2 odd / 1 even,3234,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 5PM,06-03-00,9,1 odd / 2 even,3241,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 5PM,06-02-09,17,1 odd / 2 even,3180,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 5PM,02-00-09,11,1 odd / 2 even,3193,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 5PM,05-01-08,14,2 odd / 1 even,3180,"weighted by historical frequency, common odd/even pattern, and median-sum range"
