lotto_game,combinations,draw_date,jackpot,winners,number_count,sum,odd_count,even_count,odd_even_pattern
3D Lotto 2PM,--,2020-03-24,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 5PM,--,2020-03-24,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 9PM,--,2020-03-24,"4,500.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 2PM,-,2020-03-24,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 5PM,-,2020-03-24,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 9PM,-,2020-03-24,"4,000.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 2PM,--,2020-03-23,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 5PM,--,2020-03-23,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 9PM,--,2020-03-23,"4,500.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 2PM,-,2020-03-23,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 5PM,-,2020-03-23,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 9PM,-,2020-03-23,"4,000.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 2PM,--,2020-03-22,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 5PM,--,2020-03-22,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 9PM,--,2020-03-22,"4,500.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 2PM,-,2020-03-22,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 5PM,-,2020-03-22,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 9PM,-,2020-03-22,"4,000.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 2PM,--,2020-03-21,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 5PM,--,2020-03-21,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 9PM,--,2020-03-21,"4,500.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 2PM,-,2020-03-21,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 5PM,-,2020-03-21,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 9PM,-,2020-03-21,"4,000.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 2PM,--,2020-03-20,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 5PM,--,2020-03-20,"4,500.00",0,0,0,0,0,0 odd / 0 even
3D Lotto 9PM,--,2020-03-20,"4,500.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 2PM,-,2020-03-20,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 5PM,-,2020-03-20,"4,000.00",0,0,0,0,0,0 odd / 0 even
2D Lotto 9PM,-,2020-03-20,"4,000.00",0,0,0,0,0,0 odd / 0 even
