lotto_game,count,min,median,mean,max,std
2D Lotto 2PM,3573,2,32.0,32.09,62,12.67
2D Lotto 5PM,3572,2,32.0,32.0,62,12.56
2D Lotto 9PM,3572,2,32.0,31.88,62,12.89
3D Lotto 2PM,3573,0,13.0,13.52,27,5.01
3D Lotto 5PM,3572,0,13.0,13.38,27,4.9
3D Lotto 9PM,3572,0,13.0,13.35,27,4.95
4D Lotto,1485,2,18.0,17.96,36,5.77
6D Lotto,1478,5,27.0,26.81,46,7.06
EZ2 Lotto 11:30AM,2,26,28.0,28.0,30,2.83
EZ2 Lotto 12:30PM,2,20,38.0,38.0,56,25.46
EZ2 Lotto 2PM,2,43,46.5,46.5,50,4.95
Grand Lotto 6/55,1549,35,168.0,168.4,287,37.86
Lotto 6/42,1544,42,129.0,128.56,218,27.79
Megalotto 6/45,1549,54,139.0,138.6,233,29.9
Suertres Lotto 11:30AM,2,8,10.5,10.5,13,3.54
Suertres Lotto 12:30PM,2,9,15.5,15.5,22,9.19
Suertres Lotto 2PM,2,14,16.5,16.5,19,3.54
Superlotto 6/49,1542,50,150.0,150.62,252,33.26
Ultra Lotto 6/58,1483,55,176.0,175.83,305,40.32
